Category,Symptom,Cause,Medicines (Indian),Home Remedies,Precautions,Hindi Explanation
Periods,पेट में तेज दर्द (Cramps),Prostaglandin release,"Meftal-Spas, Drotin-M","गुनगुना पानी, hot water bag, हल्की walk","ठंडी चीज़ें avoid करें, heavy exercise ना करें","पीरियड्स में पेट दर्द आम है, हार्मोनल बदलाव के कारण होता है"
Periods,ज़्यादा bleeding,"Hormonal imbalance, Fibroids","Tranexamic acid (doctor की सलाह से), Iron supplement","आयरन-rich खाना, आराम",Self-medication ना करें,अगर bleeding 7 दिन से ज़्यादा हो तो तुरंत डॉक्टर को दिखाएँ
Periods,थकान और चक्कर,"Iron deficiency, हार्मोनल बदलाव","Iron tablets, Multivitamins","पालक, गुड़, अनार खाना",जंक फूड avoid करें,पीरियड्स के दौरान आयरन कम होने से थकान होती है
Cold,नाक बहना (Runny Nose),"Viral infection, Allergies","Cetirizine, Sinarest","अदरक-शहद, भाप लेना",धूल और ठंड से बचें,सर्दी-ज़ुकाम में नाक बहना वायरस के कारण होता है
Cold,गले में खराश,Viral/Bacterial infection,"Azithromycin (doctor की सलाह से), Lozenges","गुनगुना पानी, नमक के पानी से गरारे",ठंडी चीज़ें avoid करें,गले में खराश बैक्टीरिया या वायरस से हो सकती है
Fever,हल्का बुखार,Viral/Bacterial infection,"Dolo-650, Paracetamol","नींबू-पानी, आराम",खुद से एंटीबायोटिक ना लें,बुखार infection से लड़ने का तरीका है
Fever,तेज़ बुखार (102°F+),"Typhoid, Dengue, Viral Fever","Paracetamol, ORS","पानी पीना, ठंडी पट्टी",डॉक्टर से तुरंत संपर्क करें,तेज़ बुखार गंभीर बीमारी का संकेत हो सकता है
Stomach,पेट दर्द,"Acidity, Gastritis","Gelusil, Digene","नींबू-पानी, सादा खाना",तेल-मसालेदार खाना avoid करें,पेट दर्द कई कारणों से हो सकता है
Stomach,Loose motion,"Food poisoning, Infection","ORS, Norflox-TZ","पानी, दही-चावल",गंदा पानी avoid करें,Loose motion डिहाइड्रेशन कर सकता है
Skin,दाने / एलर्जी,Allergic reaction,"Cetzine, Avil",एलोवेरा जेल,खुजली वाले प्रोडक्ट से बचें,"एलर्जी धूल, खाने या दवा से हो सकती है"
Skin,मुंहासे,"Hormonal changes, Oil","Clindamycin gel, Neem facewash","नीम पत्ता, हल्दी पेस्ट",ज्यादा तैलीय खाना avoid करें,मुंहासे hormonal और diet के कारण होते हैं
Headache,सिर में दर्द (Pain in Head),"Stress, Dehydration, Sinus, Migraine","Saridon, Crocin, Aspirin","नींबू-पानी, आराम, tea","Screen time कम करें, भरपूर पानी पिएं","सिर में दर्द तनाव, पानी की कमी या साइनस के कारण हो सकता है"
Cough,सूखी खांसी (Dry Cough),"Viral infection, Allergies, Pollution","Benadryl, Ascoril","अदरक-शहद, गर्म पानी में नमक","ठंडी चीज़ें avoid करें, मास्क पहनें","सूखी खांसी एलर्जी या वायरस से हो सकती है, धूल से बचें"
Cough,बलगम वाली खांसी (Wet Cough),"Bacterial infection, Bronchitis","Alex, Tixylix","भाप लेना, गरम पानी पीना","दूध और दही avoid करें, धूम्रपान से बचें",बलगम वाली खांसी फेफड़ों में संक्रमण का संकेत हो सकती है
Sore Throat,गले में खराश और दर्द (Painful Throat),"Viral/Bacterial infection, Laryngitis","Strepsils, Vicks, Azithromycin","गुनगुने पानी से गरारे, मुलेठी","ठंडी चीज़ें न खाएं, ज़ोर से न बोलें","गले में खराश, संक्रमण या ठंडा खाने से हो सकती है"
Dental,दांत में दर्द (Toothache),"Cavity, Gum infection, Sensitive teeth","Combiflam, Ketorol DT","लौंग का तेल, नमक का पानी","मीठा खाना कम करें, रोज़ ब्रश करें","दांत दर्द, कैविटी या मसूड़ों के संक्रमण के कारण हो सकता है"
